section,label,Nom,Définition,Type,exemple valeur,Exemple texte,source
Condition de règlement,pourcentage_avance_signature_contrat,Pourcentage d’avance à la signature du contrat,Pourcentage d’avance à la signature du contrat,INT,10,10 % d’avance à la signature du contrat,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Condition de règlement,pourcentage_avancement_situations_mensuelles,Pourcentage à l’avancement sur situations mensuelles,Pourcentage à l’avancement sur situations mensuelles,INT,75,75 % à l’avancement sur situations mensuelles,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Condition de règlement,pourcentage_réception_après_levée_réserves,"Pourcentage à la réception, après levée des réserves","Pourcentage à la réception, après levée des réserves",INT,10,10 % à la réception,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Condition de règlement,pourcentage_un_an_après_réception_travaux,Pourcentage un an après la réception des travaux,Pourcentage un an après la réception des travaux,INT,5,5 % un an après la réception,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Condition de règlement,has_avance_forfaitaire,Condition Avance forfaitaire,Avance forfaitaire ayant une condition,BOOLEAN,TRUE,Le versement de l’avance forfaitaire de 10% sera subordonné à la constitution préalable d’une garantie à première demande.,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Condition de règlement,has_retenue_garantie_engagement_performance,Montant Retenue de garantiesuite à engagement de performance,Pourcentage retenu sur le montant total du marché pour les défauts de performances suite à l'engagement de performance,BOOLEAN,TRUE,"""
Une retenue de 5% du montant total du marché sera effectuée au regard de la retenue de garantie et de l’Engagement de Performance""",2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Pénalité,pourcentage_penalite_retard,Pénalité de retard,"Pourcentage  du montant de Sanction financière appliquée en cas de non-respect des délais contractuels, exprimée en pourcentage du montant des travaux par jour ouvré.",INT,2,Pénalité de retard de 2% du montant des travaux par jour ouvré en cas de non-respect des délais.,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Pénalité,montant_plafond_penalite_retard,Plafond de pénalités,"Limite maximale du montant total des pénalités de retard, exprimée en pourcentage du montant du marché.",INT,8,Le montant des pénalités de retard est plafonné à 8% du montant du marché.,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Pénalité,has_penalite_absence,Pénalité d'absence,Sanction financière pour absence aux réunions de chantier ou non-respect des consignes de sécurité.,BOOLEAN,TRUE,"Absence aux réunions de chantier : 100€/jour, Absence du responsable d'équipe : 100€/jour.",2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Compte rendu de chantier,delais_jour_compte_rendu_chantier,Délais Compte rendu de chantier,"Nombre de jour pour la rédaction du document formalisant les instructions et observations du chantier, avec un délai pour les observations des entreprises.",INT,3,Les Entreprises sont réputées avoir accepté le compte-rendu de chantier à défaut d’avoir présenté leurs observations dans les 3 jours.,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Assurances,has_assurance_vol_chantier,Assurance vol,Présence d'une couverture des risques de vol sur le chantier.,BOOLEAN,TRUE,"L'Entreprise doit être assuré contre les risques suivants :
- Effondrement de tout ou partie de l'immeuble 
-Responsabilités biennale et décennale découlant des articles 1792 et 2270 du Code civil lorsque ceux-ci s'appliquent.
-Responsabilité civile envers les tiers
-Dégât des eaux et incendie sur le chantier
-Vol sur le chantier",2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Assurances,has_attestation_assurance_nominative_avant_signature,Attestation d'assurance nominative avant signature,"Document prouvant la couverture d'assurance spécifique au chantier, à fournir avant la signature du contrat.",BOOLEAN,TRUE,Une attestation d’assurance nominative de chantier sera à fournir au maître d’ouvrage avant la signature du contrat.,2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Pénalité,pourcentage_penalite_mise_en_demeure,Pourcentage du montant suite à une mise en demeure,Montant pénalité par jours de retard suite à une notification formelle adressée à une entreprise pour non-respect d’une obligation contractuelle,INT,2,"Dans le cas où une Entreprise ne respecterait pas les délais impartis et s'il ne donnait pas suite dans les 3 jours qui suivent une mise en demeure du maître d'œuvre, il se verrait infliger une pénalité de retard, par jour ouvré, de 2% du montant de ses travaux. ",2 - ITM Vitré - Marché de travaux - ENTECH - lot PV.pdf
Employés et sous-traitants,has_sous_traitance_second_rang,sous traitance de second rang,possibilité pour la Maîtrise d'Œuvre de faire appel à des sous-traitants de second rang,BOOLEAN,TRUE,"La Maîtrise d'Œuvre pourra faire appel à des sous-traitants de second rang, sous réserve de leur validation préalable par le Maître d'Ouvrage.",1 - Annexe 15 - Contrat_ref_ITM 260626_commente_Entech.docx.pdf
Indemnisation,has_indemnisation_dommage_immateriel,Indemnisation des dommages immatériels,Présence d'une indemnisation des dommages immatériels,BOOLEAN,TRUE,Présence d'une indemnisation des dommages immatériels,1 - Annexe 15 - Contrat_ref_ITM 260626_commente_Entech.docx.pdf
Pénalité,has_plafond_penalites,Présence d'un plafond global de pénalités,Indique si le contrat prévoit un plafond maximum pour l'ensemble des pénalités pouvant être appliquées à Entech.,BOOLEAN,TRUE,L'ensemble des pénalités applicables au Constructeur est plafonné.,Annexe 10 - CGV Entech_16102025.pdf
Pénalité,pourcentage_plafond_penalites,Plafond global des pénalités,Pourcentage maximal du montant du contrat pouvant être appliqué au titre de l'ensemble des pénalités.,INT,15,L'ensemble des pénalités applicables est plafonné à 15 % du montant du Contrat.,Annexe 10 - CGV Entech_16102025.pdf
Pénalité,has_penalites_forfaitaires,Caractère forfaitaire des pénalités,Indique si les pénalités prévues par le contrat ont un caractère forfaitaire.,BOOLEAN,TRUE,Toutes les pénalités dont l'Entreprise pourrait être redevable sont forfaitaires.,Annexe 10 - CGV Entech_16102025.pdf
Pénalité,has_penalites_liberatoires,Caractère libératoire des pénalités,Indique si le paiement d'une pénalité libère Entech de toute indemnisation supplémentaire au titre du même manquement.,BOOLEAN,TRUE,Les pénalités sont forfaitaires et leur paiement est libératoire.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_dommages_indirects,Exclusion des dommages indirects,Indique si le contrat exclut la responsabilité d'Entech pour les préjudices indirects et dommages immatériels.,BOOLEAN,TRUE,Aucune des Parties ne pourra voir sa responsabilité engagée pour la réparation de tout préjudice indirect ou dommage immatériel.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_perte_exploitation,Exclusion des pertes d'exploitation,Indique si les pertes d'exploitation sont exclues des dommages indemnisables par Entech.,BOOLEAN,TRUE,Les pertes d'exploitation sont exclues des préjudices pouvant donner lieu à indemnisation.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_perte_profit,Exclusion des pertes de profit,"Indique si les pertes de profit, revenus ou manque à gagner sont exclues de la responsabilité d'Entech.",BOOLEAN,TRUE,"Sont notamment exclues les pertes de profit, de revenus et le manque à gagner.",Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_perte_production,Exclusion des pertes de production,Indique si les pertes de production sont exclues des dommages pouvant être réclamés à Entech.,BOOLEAN,TRUE,Les pertes de production ne peuvent donner lieu à indemnisation.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_plafond_responsabilite,Présence d'un plafond de responsabilité,Indique si la responsabilité financière totale d'Entech est plafonnée contractuellement.,BOOLEAN,TRUE,La responsabilité des Parties est strictement limitée.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,pourcentage_plafond_responsabilite,Plafond de responsabilité,Pourcentage maximal du montant du contrat auquel la responsabilité totale d'Entech est limitée.,INT,100,La responsabilité des Parties est strictement limitée à 100 % du montant du Contrat.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_fait_tiers,Exclusion de responsabilité pour fait d'un tiers,Indique si Entech est exonérée de responsabilité lorsque le dommage ou retard résulte du fait d'un tiers.,BOOLEAN,TRUE,La responsabilité des Parties ne pourra pas être recherchée pour tout fait d'un tiers.,Annexe 10 - CGV Entech_16102025.pdf
Responsabilité,has_exclusion_fait_acheteur,Exclusion de responsabilité pour fait de l'Acheteur,Indique si Entech est exonérée de responsabilité pour les conséquences résultant d'un acte ou manquement de l'Acheteur.,BOOLEAN,TRUE,La responsabilité de l'Entreprise ne pourra pas être recherchée pour tout fait de l'Acheteur lui-même.,Annexe 10 - CGV Entech_16102025.pdf
Force majeure,has_clause_force_majeure,Présence d'une clause de force majeure,Indique si le contrat prévoit la suspension ou l'exonération des obligations d'Entech en cas de force majeure.,BOOLEAN,TRUE,Les Parties ne pourront être tenues responsables si la non-exécution résulte d'un cas de Force majeure.,Annexe 10 - CGV Entech_16102025.pdf
Force majeure,has_intemperies_force_majeure,Intempéries couvertes par la force majeure,Indique si les intempéries sont explicitement reconnues parmi les événements pouvant exonérer ou suspendre les obligations d'Entech.,BOOLEAN,TRUE,Les intempéries sont considérées comme cas de force majeure.,Annexe 10 - CGV Entech_16102025.pdf
Force majeure,has_penurie_materiaux_force_majeure,Pénurie de matières premières couverte,Indique si les pénuries de matières premières ou difficultés d'approvisionnement peuvent constituer un événement exonératoire.,BOOLEAN,TRUE,Les blocages d'approvisionnement et pénuries de matières premières sont considérés comme des cas de force majeure.,Annexe 10 - CGV Entech_16102025.pdf
Force majeure,has_suspension_penalites_force_majeure,Suspension des pénalités en cas de force majeure,Indique si aucun dommage-intérêt ou pénalité de retard ne peut être appliqué pendant une suspension causée par un événement de force majeure.,BOOLEAN,TRUE,La suspension des obligations ne pourra induire le versement de dommages et intérêts ou de pénalités de retard.,Annexe 10 - CGV Entech_16102025.pdf
Résiliation,delai_mise_en_demeure_resiliation,Délai de régularisation avant résiliation,Nombre de jours accordés à une partie pour remédier à un manquement avant qu'une résiliation puisse intervenir.,INT,30,La Partie lésée pourra mettre en demeure l'autre Partie de remédier au manquement dans un délai de trente jours.,Annexe 10 - CGV Entech_16102025.pdf
Résiliation,has_paiement_prestations_executees_resiliation,Paiement des prestations exécutées en cas de résiliation,"Indique si les prestations, travaux et produits déjà exécutés ou livrés restent dus par l'Acheteur après résiliation du contrat.",BOOLEAN,TRUE,Les Services et Marchés de Travaux exécutés et les Produits livrés resteront dus et devront être réglés par l'Acheteur.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_condition_autorisations_administratives,Condition suspensive d'autorisations administratives,Indique si le début d'exécution des travaux est conditionné à l'obtention des autorisations administratives nécessaires au projet.,BOOLEAN,TRUE,Le début d'exécution est conditionné à l'obtention des autorisations administratives nécessaires au Projet.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_condition_financement,Condition suspensive de financement,Indique si le début d'exécution des travaux est conditionné à l'obtention du financement et des garanties nécessaires au projet.,BOOLEAN,TRUE,Le début d'exécution est conditionné à l'obtention des financements et garanties nécessaires au Projet.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_condition_accord_raccordement,Condition suspensive d'accord de raccordement,Indique si le début d'exécution du marché est conditionné à l'obtention de l'accord du gestionnaire de réseau pour le raccordement.,BOOLEAN,TRUE,Le début d'exécution est conditionné à l'obtention de l'accord de raccordement du gestionnaire de réseau.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_condition_ordre_service,Ordre de Service comme condition de démarrage,Indique si l'émission d'un Ordre de Service fait partie des conditions requises pour commencer l'exécution des travaux.,BOOLEAN,TRUE,Le début des travaux est conditionné à l'émission d'un Ordre de Service.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,delai_levee_conditions_suspensives,Délai de levée des conditions suspensives,Durée maximale prévue pour réaliser les conditions nécessaires au démarrage des travaux avant remise en cause du prix et du planning.,INT,6,Les conditions doivent être réalisées dans les six mois suivant la signature du Contrat.,Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_revision_prix_si_conditions_non_levees,Révision du prix en cas de non-levée des conditions,Indique si Entech peut remettre à jour son prix lorsque les conditions suspensives ne sont pas réalisées dans le délai prévu.,BOOLEAN,TRUE,"En cas d'absence de réalisation des conditions dans un délai de six mois, le Constructeur ne sera plus tenu par ses engagements en termes de prix.",Annexe 10 - CGV Entech_16102025.pdf
Entrée en vigueur,has_revision_planning_si_conditions_non_levees,Révision du planning en cas de non-levée des conditions,Indique si Entech peut remettre à jour le planning lorsque les conditions suspensives ne sont pas réalisées dans le délai prévu.,BOOLEAN,TRUE,"En cas d'absence de réalisation des conditions dans un délai de six mois, le Constructeur ne sera plus tenu par ses engagements en termes de planning.",Annexe 10 - CGV Entech_16102025.pdf
Études,has_frais_etudes_non_remboursables,Frais d'études non remboursables,Indique si les frais d'étude restent dus à Entech même lorsque les conditions permettant de commencer les travaux ne sont finalement pas réalisées.,BOOLEAN,TRUE,Les frais d'étude sont dus à l'entrée en vigueur du Contrat et ne sont pas remboursables.,Annexe 10 - CGV Entech_16102025.pdf
Condition de règlement,has_facturation_commande,Facturation lors de la commande,Indique si l'échéancier contractuel autorise Entech à facturer une partie du marché lors du passage de commande.,BOOLEAN,TRUE,Les factures comprennent une facturation lors du passage de commande auprès du Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Condition de règlement,has_facturation_materiaux_avant_travaux,Facturation des matériaux avant travaux,Indique si le contrat permet de facturer les matériaux avant le démarrage effectif du chantier.,BOOLEAN,TRUE,Les factures comprennent une facturation à la commande des matériaux au moins deux mois avant le début des travaux.,Annexe 10 - CGV Entech_16102025.pdf
Condition de règlement,delai_facturation_materiaux_avant_travaux,Délai de facturation des matériaux avant travaux,Nombre minimal de mois avant le début des travaux auquel la commande des matériaux peut être facturée.,INT,2,Une facturation à la commande des matériaux intervient au moins deux mois avant le début des travaux.,Annexe 10 - CGV Entech_16102025.pdf
